"ids","X","L1","L2","A","C","Y"
1,1,0,0,1,16.68514509438,16.4630307729121
2,3,0,1,1,2.4622835565408,19.3289553234263
3,2,0,1,0,2.35860353483434,4.20755872546064
4,3,0,1,1,2.44450441989283,12.2661049871448
5,1,0,0,0,11.5800111391698,6.73988351300959
6,2,0,1,1,8.28986584440231,1.08238194773683
7,2,1,1,1,9.3925898176953,8.33031121329422
8,2,1,1,1,7.31034105526928,3.86690158661747
9,2,1,0,1,13.1322940270301,8.80929493854452
10,2,0,0,1,10.6685133682971,2.38127786674337
11,1,0,0,1,20.8309400664086,6.12018457423485
12,3,1,1,1,2.87689485785231,10.9669903107939
13,2,1,0,1,12.5639740451848,5.82692527259691
14,1,0,0,1,19.6609197100512,11.3195239093252
15,3,0,1,1,6.42926975864352,9.52976327494771
16,2,1,0,0,14.3495404571458,4.71447897636632
17,1,0,0,1,3.37338377160011,13.1710441000322
18,2,1,0,1,12.7890064704664,8.8815743467351
19,1,0,0,1,17.7109363138565,4.56924496096053
20,2,0,1,0,5.18389298851748,4.8087500583711
21,2,1,0,0,23.4529737862777,7.4207898280119
22,3,0,1,0,1.07926977221998,1.89899702232296
23,1,0,0,0,3.58855020801152,7.05538400808937
24,2,0,1,1,4.96497483792371,23.6499354322832
25,3,0,1,1,5.18252637098823,14.6990201462493
26,2,0,1,1,4.20543595045138,5.91694017892957
27,3,0,1,1,0.896688683183279,6.03073193000302
28,3,0,1,1,2.86163732206268,7.1048355642394
29,3,0,1,1,2.19304517746415,8.86220396753819
30,2,0,0,1,4.50310884271021,10.2877645713921
31,1,0,0,1,12.3856687937753,0.995255030788711
32,3,1,1,1,2.06101298129086,13.1602270748529
33,1,1,0,0,8.91355545474182,2.37494031710019
34,1,1,0,0,17.8642651951637,2.02987292075474
35,3,1,1,1,8.30503184709861,3.59012036787974
36,2,1,1,1,4.89978998493496,7.8800903828863
37,2,1,1,1,14.6218938457002,4.77783111172667
38,1,0,0,0,12.2534357148791,2.44598804288104
39,1,0,0,1,8.06802944763656,3.31825593309563
40,3,1,0,1,3.84277046577084,9.05765062844737
41,2,0,0,0,5.24774119125173,4.04689477572997
42,3,1,1,1,8.41044749950118,7.24138502913561
43,3,1,0,0,7.19619493392969,3.90944446899849
44,2,1,1,1,15.2692828233016,4.17733549673374
45,2,1,0,1,12.2540599637107,8.2893556841119
46,2,0,0,1,8.48553985722649,7.71619091055317
47,1,0,0,0,6.57537339210349,2.22414905748744
48,1,0,0,1,17.1649554728433,14.3418652491414
49,1,0,0,0,12.0362314069631,3.59457183959119
50,2,1,1,0,12.1148212900258,4.67799335205014
51,1,0,0,0,0.714131583898976,7.15338127760746
52,3,0,1,1,6.11065886841974,13.8587833237884
53,2,0,1,0,2.41020497929975,0.759787661616309
54,2,1,1,1,11.1447641938149,13.5204712323136
55,2,1,1,0,2.27117526937573,3.13260002571583
56,3,1,1,1,3.00560042340288,8.40642234334776
57,2,0,0,1,6.02473003487877,19.7602072560491
58,1,0,1,0,6.76576159573839,5.16322480716268
59,1,0,0,0,3.17124950911841,3.75105471800852
60,3,0,1,1,3.4559767153476,9.18949190616921
61,3,1,1,1,5.70410014592814,13.3723869025806
62,1,0,0,1,15.9531449116988,12.4428963101324
63,1,0,0,1,33.4630113912296,5.00665970906223
64,3,1,1,1,12.6760378028866,10.8568829593438
65,3,0,1,1,9.64626625617595,12.3868546496874
66,3,0,0,0,1.63275242088807,2.36574541127375
67,1,0,0,0,9.94309676828123,1.8373029486251
68,2,1,0,1,33.2591563753694,3.60320084270479
69,3,1,0,1,7.62200306221987,8.21843837864999
70,2,0,0,1,12.8303630492002,3.34100680997055
71,2,0,0,0,4.72652199091985,2.62964778855363
72,1,0,0,1,32.0109820966948,2.90463145320262
73,1,0,0,0,6.67257570580791,1.26263738909209
74,3,1,1,1,6.47736374255577,15.1453212276479
