"ids","X","L1","L2","A","C","Y"
1,2,1,0,1,17.3453782604035,0.836837276597279
2,3,1,0,0,6.41846762328212,1.07712465991642
3,3,0,1,1,6.12204842747862,1.17033355256758
4,2,1,0,1,10.8879435209749,0.382964889520999
5,3,0,1,0,2.75803860350378,0.54702221507938
6,3,1,1,1,2.94707522782319,2.03047094544957
7,1,0,0,0,5.50532184944431,1.8684417427385
8,3,1,1,1,7.181871110665,0.862980826427247
9,2,0,0,1,16.3693397581323,2.62764014254958
10,2,0,1,1,2.90373171983695,4.66557570178798
11,2,0,1,0,5.21013934510595,0.931533931588231
12,3,0,1,1,2.51604723900523,1.29275911990677
13,1,0,0,0,15.2140451439794,0.163180283966597
14,3,1,1,1,2.55055474379814,1.59634965840304
15,2,1,1,1,5.3178780755896,4.52511298883315
16,2,0,0,0,8.77157445885786,0.96087681519824
17,2,1,1,1,5.65056444306927,1.92918641254269
18,2,0,0,1,6.35630525332259,3.80964988069931
19,2,0,0,0,6.42753949504509,1.26339859127631
20,3,0,1,1,2.71651013597672,1.88118887019486
21,3,1,0,1,12.8629027099309,0.391277000992087
22,1,1,0,1,31.5249648611448,4.87598458391284
23,3,1,1,1,4.18504700721162,1.2206650303594
24,1,0,0,0,13.2130713207426,1.85858005213773
25,2,1,1,1,14.7731328144854,0.978085371320327
26,2,0,0,0,8.7848371954998,1.70859737404715
27,2,0,1,1,6.67258667977205,3.3670849573374
28,3,1,1,0,2.2456461666565,0.967365515115033
29,2,1,1,1,8.93105610495928,2.69676986636387
30,3,1,1,1,7.65892785151678,1.66968803411423
31,3,1,1,1,2.17123036728145,2.42339896741463
32,3,0,1,1,2.10759621766545,5.02876747668271
33,2,1,0,1,28.4780935183078,2.51070151149289
34,1,0,0,0,16.1390009447425,1.46561113006647
35,3,1,1,1,5.09685329633667,2.99045208476201
36,3,1,1,1,9.20730465058686,0.134343818858038
37,1,0,0,1,11.0280697341006,10.0255878806098
38,1,0,0,1,9.00343870842506,1.44745485386142
39,2,0,1,1,2.79581660647057,2.21512362960932
40,2,1,0,0,10.166207793226,0.803017367512454
